Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_id,0.0,0.0,1.0,0.08745460710688936,0.013285146871053045,0.3968729550373219,0.6299876271953431,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,6,True,False,Multivariate
lexical_n_letters,0.0,0.0,1.0,0.08745460710688936,0.013285146871053045,0.3968729550373219,0.6299876271953431,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,6,True,False,Multivariate
grammatical_gender,0.00016302689431360487,1.2384717684399944e-06,0.0,0.08745460710688936,0.013285146871053045,0.3968729550373219,0.6299876271953431,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,6,True,False,Multivariate
grammatical_number,0.0005553798181929415,1.777081263369357e-06,0.0,0.08745460710688936,0.013285146871053045,0.3968729550373219,0.6299876271953431,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,6,True,False,Multivariate
grammatical_pos,0.012890811957200906,1.3445632518410559e-05,0.0,0.08745460710688936,0.013285146871053045,0.3968729550373219,0.6299876271953431,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,6,True,False,Multivariate
grammatical_tense,0.0003272441572820306,1.7985048258421994e-06,0.0,0.08745460710688936,0.013285146871053045,0.3968729550373219,0.6299876271953431,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,6,True,False,Multivariate
grammatical_person,2.8016481348017747e-05,3.357166047495005e-07,0.0,0.08745460710688936,0.013285146871053045,0.3968729550373219,0.6299876271953431,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,6,True,False,Multivariate
sequential_posit_from_start,0.001188381055065375,2.6910983933665615e-06,0.0,0.08745460710688936,0.013285146871053045,0.3968729550373219,0.6299876271953431,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,6,True,False,Multivariate
sentential_question,0.0003209003758934663,1.3651155642415287e-06,0.0,0.08745460710688936,0.013285146871053045,0.3968729550373219,0.6299876271953431,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,6,True,False,Multivariate
structural_depth_in_tree,3.266910205391437e-05,4.497867136325719e-07,0.0,0.08745460710688936,0.013285146871053045,0.3968729550373219,0.6299876271953431,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,6,True,False,Multivariate
